produit_id;categorie_id;sous_categorie_id;marque_id;fournisseur_id;nom_produit;description;matiere_principale;couleur_principale;style
P00029;CAT06;SC030;MAR015;FOU020;Tissu Linge;Tissu doux et absorbant pour linge de bain élégant.;Coton & Lin;Beige;Rustique contemporain
P00030;CAT09;SC041;MAR025;FOU022;Canapé Relax;Canapé extensible pour profiter des soirées d'été sous la véranda.;Tissu résistant;Blanc clair;Contemporain
P00031;CAT09;SC044;MAR023;FOU043;Lampe Pagaie;Lampe de jardin design et robuste, idéale pour éclairer patios et allées.;Aluminium et polyester;Blanc;Moderne
P00032;CAT03;SC015;MAR001;FOU006;Fourchette Elegance;Fourchette en acier inoxydable pour un repas élégant et durable.;Acier inoxydable;Polished silver;Modern & Chic
P00033;CAT06;SC026;MAR007;FOU017;Coussin Relax;Coussin moelleux pour une détente instantanée sur les canapés et fauteuils.;Coton doux;Beige clair;Scandinave minimaliste
P00034;CAT03;SC014;MAR010;FOU001;Panier Multifonction;Panier en coton robuste pour ranger et organiser vos ustensiles de cuisine.;Coton;Beige;Rustique contemporain
P00035;CAT09;SC042;MAR024;FOU026;Barbecue Electro;Barbecue à induction facile à utiliser pour un grilage rapide et homogène.;Acier inoxydable;Étincelante noire;Contemporain
P00036;CAT09;SC042;MAR024;FOU011;Barbecool;Barbecue portable et durable pour vos soirées en plein air.;Acier inoxydable;Mat noir;Rustique contemporain
P00037;CAT04;SC017;MAR004;FOU021;Cadre Moderne;Cadre minimaliste pour encadrer vos photos et œuvres d'art avec style.;Alliage d'aluminium;Mat noir;Scandinave
P00038;CAT10;SC048;MAR019;FOU041;Cubio;Meuble multifonctionnalité avec 4 compartiments et 2 étagères ajustables.;MDF peint;Blanc cassé;Contemporain
P00039;CAT08;SC038;MAR029;FOU003;FoodiMix;Mixeur multifonctionnalité pour une préparation rapide et efficace de vos recettes.;Plastique durable, acier inoxydable;Mat noire;Contemporain et élégant
P00040;CAT03;SC015;MAR005;FOU025;Fourchette Elegance;Fourchette en acier inoxydable de haute qualité, idéale pour tous vos repas.;Acier inoxydable;Inoxydable (chrome);Contemporain
P00041;CAT02;SC006;MAR001;FOU036;Lit Élégant;Lit moderne avec un design minimaliste offrant un sommeil réparateur.;Bois massif teck;Chêne clair;Scandinave
P00042;CAT02;SC010;MAR003;FOU009;Commode Moderne;Commode élégante avec 4 tiroirs pour un rangement optimal.;Bois massif;Chêne clair;Scandinave
P00043;CAT08;SC039;MAR020;FOU042;Brosse à poils flexibles;Brosse efficace pour nettoyer tous les coins des meubles et surfaces.; plastique durable, poils synthétiques;gris anthracite;élégant et minimaliste
P00044;CAT05;SC025;MAR029;FOU002;Lampe Murale Béton;Lampe murale design pour extérieur, offrant une lumière douce et naturelle.;Béton;Grise;Contemporain
P00045;CAT07;SC034;MAR005;FOU041;Dressing Multi-Compartiments;Dressing design moderne offrant 6 compartiments pour un rangement optimal de vos vêtements et accessoires.;Plastique résistant;Blanc;Contemporain
P00046;CAT01;SC001;MAR008;FOU003;Canapé Relax;Canapé à múltiples places offrant un confort inégalé avec sa coussinage épais et sa structure robuste.;Simili cuir;Beige clair;Scandinave
P00047;CAT02;SC008;MAR005;FOU011;Chevet Élégant;Chevet minimaliste avec des lignes sobres pour une chambre moderne et fonctionnelle.;MDF peint;Blanc cassé;Contemporain
P00048;CAT02;SC008;MAR005;FOU009;Chevet Minimal;Chevet élégant avec un design minimaliste et une surface plane.;Mélamine;Noir mat;Contemporain
P00049;CAT03;SC011;MAR021;FOU045;Table Repas Urban Chic;Table de cuisine moderne pour 6 convives, idéale pour les repas en famille.;Mélamine;Blanc Satiné;Scandinave
P00050;CAT10;SC047;MAR019;FOU001;Chaise ErgoFlex;Chaise confortable avec assise et dossier molletonnés pour un soutien optimal durant la journée de travail.;Polypropylène et mousse polyuréthane;Beige;Modern industriel
